"Issue Key","Summary","Description","Acceptance Criteria","Story Points"
"","PreR1	Οργάνωση ομάδας","","","xxl"
"","PreR2	Ανάλυση απαιτήσεων","","","xxl"
"","PreR3	Εκτίμηση προσπάθειας &amp; προτεραιοποίηση εργασιών","","","xxl"
"","PreR4	Προγραμματισμός εργασιών","","","xxl"
"","R1	Αρχικός Σχεδιασμός Συστήματος","","","l"
"","R1.1	Δημιουργία dummy GUI Αρχικής Οθόνης","","","l"
"","R1.2	Δημιουργία Βάσης δεδομένων","","","xxl"
"","R1.3	Δημιουργία κλάσεων POJO","","","xl"
"","R2	Διαχείριση δεδομένων JOKER","","","-"
"","R2.1	Δημιουργία dummy GUI για τη διαχείριση δεδομένων από το API του ΟΠΑΠ","","","xl"
"","R2.2	Σύνδεση της εφαρμογής με την Βάση Δεδομένων","","","xxl"
"","R2.3	Επιλογή game_ID ή επιλογή εύρους ημερομηνιών","","","xl"
"","R2.4	Έλεγχος αν υπάρχουν ήδη τα δεδομένα στη Βάση Δεδομένων.","","","m"
"","R2.5	Αποθήκευση των δεδομένων που ανακτήθηκαν από το API στη Βάση Δεδομένων","","","l"
"","R2.6	Διαγραφή δεδομένων παιχνιδιού  με επιβεβαίωση διαγραφής","","","m"
"","R2.6	Διαγραφή δεδομένων εντός εύρους ημ/νιών με επιβεβαίωση διαγραφής","","","m"
"","R3	Προβολή δεδομένων ΤΖΟΚΕΡ","","","-"
"","R3.1	Δημιουργία dummy GUI για παράθυρο προβολή των δεδομένων για την επιλογή 2 &quot;Προβολή δεδομένων ΤΖΟΚΕΡ ανά μήνα για συγκεκριμένο έτος&quot;","","","l"
"","R3.2	Λειτουργικότητα επιλογής από λίστα, του έτους και του μήνα","","","l"
"","R3.3	Εμφάνιση δεδομένων 12 μηνών και συγκεντρωτικών δεδομένων ανά μήνα για συγκεκριμένο έτος","","","xl"
"","R4	Προβολή/Εκτύπωση στατιστικών δεδομένων ΤΖΟΚΕΡ","","","-"
"","R4.1	Δημιουργία dummy GUI για την επιλογή 3 &quot;Προβολή στατιστικών δεδομένων ΤΖΟΚΕΡ &amp; εκτύπωση σε PDF&quot;","","","xl"
"","R4.2	Ρουτίνα επιλογής χρονικού διαστήματος εμφάνισης στατιστικών","","","l"
"","R4.3	Προβολή στατιστικών δεδομένων ΤΖΟΚΕΡ σε πίνακα","","","m"
"","R4.4	Εκτύπωση στατιστικών δεδομένων ΤΖΟΚΕΡ σε αρχείο PDF","","","s"
"","R5	&quot;Προβολή στατιστικών στοιχείων κληρώσεων σε γραφική μορφή&quot;","","","-"
"","R5.1	Δημιουργία GUI","","","xl"
"","R5.2	επιλογή των στατιστικών που θα παραχθούν και εύρος ημερομηνιών","","","l"
"","R5.3	Ανάκτηση δεδομένων από τη βάση","","","m"
"","R5.4	Επεξεργασία και εμφάνιση δεδομένων","","","l"
"","PostR1.1	Τελικός έλεγχος ορθής λειτουργίας προγράμματος","","","l"
"","PostR1.2	Απολογισμός έργου","","","s"
"","PostR1.3	Συγγραφή εργασίας","","","l"
